2017-18;-;-;Regular Season;$tournament
2/3;1:00 PM;Westby;[LLL] MonDak;The Redhawk Junior Varsity was outsized, outshot, and out-rebounded by Mondak. They lost by 39.<br/><br/>2-19, 8-17, 5-21, 9-6, 24-63 final<br/><br/>$scoreboardButton="Boys JV"<br/><br/><br/><hr/><br/><br/><br/>From the beginnng of the game, the Girls Varsity team struggled to score. <br/>Layups were blown, jumpers were missed, and threes just wouldn't go in. By the end of the first half, the Redhawks had barely broken 10. Good defense saved the Redhawks, as Mondak struggled to score also. They only had 16 at the half....... ... .. . Fast forward to the 4th quarter. After falling into a significant hole, the Redhawks were up 33-30 with under a minute remaining. Unfortunately, they mixed up the defense and allowed Mondak a wide-open three. The 4th quarter ended as a 33-33 tie, and the game went into overtime.<br/>The Redhawks missed a crucial score when Mackenzie drew a charge while making a layup. Mondak drained another three, held the lead, and won the game. Bummer.<br/><br/>$scoreboardButton="Girls Varsity" [First Half]<br/><br/>5-7, 6-9, 11-10, 11-7, 2-3, 35-36 final<br/><br/>Sydney Labatte: 7 points<br/>Sydney Dethman: 12 points<br/>Mackenzie Dethman: 16 points<br/><br/><br/><hr/><br/><br/><br/>The Boys game was similar to the girls, but Mondak just kept hitting threes. (They were 9 for 11). On the other side, the Redhawks could not make their free throws, missing 14 in the first half alone and finishing at around 25%. Had the Redhawks made their free throws, they could have won the game.<br/><br/>10-17, 8-15, 11-10, 17-19, 46-61 final<br/><br/><br/>Isaac Johnson: 1 point<br/>Javonne Nesbit: 12 points<br/>Jordan Trupe: 6 points<br/>Ayden Hobbs: 3 points<br/>Colt Miller: 8 points<br/>Nick Eylander: 12 points<br/>Walker Ator: 4 points
2/9;3:00 PM;FROID;[WW] Circle;The Redhawk Girls Varsity blew the Circle wildcats away, as they often do. This game, especially, they got a lot of steals.<br/>$scoreboardButton="Girls Varsity"<br/><br/><br/>12-4, 13-0, 14-4, 8-4, 47-12 final<br/><br/>Sydney Labatte: 8 points<br/>Sydney Dethman: 6 points<br/>Tawnee Robertson: 4 points<br/>Morgan Mason: 17 points<br/>Mackenzie Dethman: 5 points<br/>Haley Labatte: 7 points<br/><br/><br/><hr/><br/><br/><br/>During the first half, it was a close game for the Redhawk Varsity Boys. The scores stayed within 3 or 4 points of each other most of the time.<br/>The second half, it was a whole different story. We started our full court press, and they got flustered. We ended up blowing them away by 19.<br/>$scoreboardButton="Boys Varsity"<br/><br/><br/>10-13, 18-13, 17-6, 19-13, 64-45 final<br/><br/>Javonee Nesbit: 20 points<br/>Nick Eyelander: 14 points<br/>Jordan Trupe: 13 points<br/>Jade Waters: 4 points<br/>Chance Parsons: 4 points<br/>Ayden Hobbs: 2 points<br/>Colt Miller: 2 points<br/>Tyler Hove: 2 points<br/>Bode Miller: 2 points<br/>Walker Ator: 1 point<br/>
2/10;1:00 PM;Savage;[WWL] Savage;The Boys JV defeated Savage by 2 points to end the season. It should have been a much bigger victory, as the Redhawks did not play too well.<br/>$scoreboardButton="Boys JV"<br/><br/><br/><hr/><br/><br/><br/>The Girls Varsity, at first, struggled during this game. In the first quarter, they went 1 for 8 on free throws and failed to convert many layups. Throughout the game, they had a few ups and downs, but gained a lead during the 4th quarter and defeated "3rd-in the state" Savage by 13 points.<br/><br/>$scoreboardButton="Girls Varsity" [First Half]<br/><br/>15-5, 15-11, 15-11, 10-15, 55-42 final<br/><br/>Paige Robertson: 14 points<br/>Sydney LaBatte: 4 points<br/>Anistyn Young: 4 points<br/>Sydney Dethman: 12 points<br/>Tawnee Robertson: 10 points<br/>Morgan Mason: 2 points<br/>Mackenzie Dethman: 7 points<br/>Haley Labatte: 2 points<br/><br/><br/><hr/><br/><br/><br/>All throughout the first half, the Redhawk Varsity Boys were right on Savage's tail, trailing in points but keeping up with the Warriors. The Redhawks played well against Savage, even gaining the lead at times, but Savage pulled ahead and gained a 16-point lead early in the 4th. After a run, the Redhawks brought the lead down to 6, but Savage prevailed in the end.<br/><br/>9-5, 9-19, 8-8, 14-18, 40-50 final<br/><br/><br/>Javonne Nesbit: 8 points<br/>Jordan Trupe: 5 points<br/>Colt Miller: 13 points<br/>Nick Eylander: 10 points<br/>Walker Ator: 4 points<br/><br/><br/><br/>
;;;;
2/12 - 2/17;---;Sidney;District Tournament (Boys);$tournament
2/12;3:00 PM;Sidney;[Win] Game 1 Vs. Circle;For the first 5 minutes, absolutely nothing happened. There were many shots taken, many airballs, and no scores. Circle then scored the first point, but that was the extent of their short-lived lead.<br/>By halftime, as both offenses stuttered, the score was 16-8. In the third quarter, however, the full-court press sank in and Circle cracked. Scoring 12 unanswered points, the Redhawks made the Wildcats suck on a nebulizer and blew them away by a large margin.<br/><br/>16-8 first half, 37-23 second half, 53-31 final<br/><br/><br/>
2/14;6:00 PM;Sidney;[Loss] Game 2 Vs. Fairview;The Redhawks were blown away by Fairview from the very beginning to the very end. I do not have any stats or scores for this game, but there are not very many of them for the Redhawks.
2/16;9:00 AM;Sidney;[Win] Game 3 Vs.Plentywood;From the beginning, this was a good game for the Redhawks. Bode Miller made the opening three, and the Redhawks never looked back, gaining a 15-point lead by halftime. Plentywood picked up the pressure in the second half and brought the led down to as low as six, but a bonus situation and Plentywood fouling cemented the victory.<br/><br/>14-11, 18-6, 5-11, 19-15, 56-43 final<br/><br/>Javonne Nesbit: 15 points<br/>Jordon Trupe: 11 points<br/>Ayden Hobbs: 3 points<br/>Colt Miller: 5 points<br/>Bode Miller: 13 points<br/>Nick Eylander: 6 points<br/>Walker Ator: 3 points<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/>
2/17;10:00 AM;Sidney;[Loss] Game 4 Vs. Savage;At the beginning, it looked like the Redhawks had this one on the bag. They had a 10 point lead, the offense was working, and Savage struggled to score. Unfortunately, Savage had all but eliminated the lead by halftime and the score was all tied up. Coming out of the half, Savage caught fire and the Redhawks struggled, and Savage built up a substantial lead. As the game drew to a close, the Redhaws cut down the lead, but Savage held on and won by 3 points.<br/><br/>I do not have stats, but here is an approximate graph of the score:<br/><br/><span style="font-family: monospace"><br/>Savage Lead ---- TIED ---- Redhawk Lead<br/>                  |                    <br/>                    |                  <br/>                      |                <br/>                     |                    <br/>                       |                    <br/>                         |                    <br/>                      |                    <br/>                  |                    <br/>                 |                    <br/>                 |                    <br/>               |                    <br/>             |                    <br/>              |                    <br/>              |                    <br/>                |                    <br/>                 |<br/></span>
2/19;6:00 PM;Culbertson;[Win] Game 5 Vs. Bainville;As the game got going, things did not look too well for the Redhawks. The score was 1-9 at one point, and layups were being badly doinked. As the first quarter wound down and the second quarter wound up, the Redhawks demolished Bainille's lead and built one of their own. By halftime, the Redhawk lead was 3 points. In the third quarter, the Redhawks choked a little, but they held on. Pulling ahead in the final minutes, they held on and won by 8. Javonne Nesbit was spectacular, scoing 29 points including a crucial string of free throws in the 4th quarter to seal the game.<br/><br/>4-9, 15-7, 10-14, 18-9, 47-39 final<br/><br/><br/>Javonne Nesbit: 29 points<br/>Colt Miller: 5 points<br/>Bode Miller: 4 points<br/>Nick Eylander: 6 points<br/>Walker Ator: 2 points
--;--;Sidney;Boys Bracket;<br/><bracket10><br/>{<br/>"info2":["<strong>If you see code instead of a bracket, hold down CTRL and push F5 to reload the page.</strong>"],<br/>"info":"<strong>Boys Bracket</strong>    <em><strong>Fairview,Mondak,Savage,R$ANDL,and Froid/Lake</strong> advance to Divisionals!</em>",<br/>"1":["3:00 PM Mon.","Froid/Lake","Circle"],<br/>"2":["4:30 PM Mon.","Savage","R$ANDL"],<br/>"3":["6:00 PM Mon.","Plentywood","Bainville"],<br/>"4":["7:30 PM Mon.","Culbertson","Brockton"],<br/>"5":["3:00 PM Wed.","Circle","R$ANDL"],<br/>"6":["4:30 PM Wed.","Plentywood","Brockton"],<br/>"7":["6:00 PM Wed.","Fairview","Froid/Lake"],<br/>"8":["7:30 PM Wed.","Culbertson","Mondak"],<br/>"9":["9:00 AM Fri.","Froid/Lake","Plentywood"],<br/>"10":["10:30 AM Fri.","R$ANDL","Culbertson"],<br/>"11":["3:00 PM Fri.","Fairview","Savage"],<br/>"12":["4:30 PM Fri.","Bainville","Mondak"],<br/>"13":["10:00 AM Sat.","Froid/Lake","Savage"],<br/>"14":["11:30 AM Sat.","Bainville","R$ANDL"],<br/>"15":["5:00 PM Sat.","Fairview W","Mondak L"],<br/>"16":["6:00 PM Mon","Froid/Lake","Bainville"]<br/>}<br/></bracket10><br/>
;;;;
2/12 - 2/19;---;Sidney;District Tournament (Girls);$tournament
2/15;7:30 PM;Sidney;[Win] Game 1 Vs. Richey-Lambert;The whistle blew. The clock started. The Redhawks got into their rhythm. What happened next was an almost unimaginable blowout, as the Redhawks scored bucket after bucket after bucket. The scoring was so rapid that I struggled to keep my scoreboard updated during the 2nd quarter at times. By halftime, the Redhawks had scored a total of 35 points compared with R$ANDL's 4.<br/>The second half, the Redhawks put the bench in, relaxed, and had fun. At the end, the Redhawks dominated 52-29.<br/><br/>$scoreboardButton="Girls Varsity"<br/><br/><br/>16-0, 19-4, 10-12, 7-13 final<br/><br/>Haley Labatte: 12 points<br/>Mackenzie Dethman: 12 points<br/>Morgan Mason: 9 points<br/>Tawnee Robertson: 3 points<br/>Sydney Dethman: 4 points<br/>Sydney Labatte: 9 points<br/><br/>
2/16;7:30 PM;Sidney;[Loss] Game 2 Vs. Savage;At the beginnning, the Redhawks looked like they had this one in the bag. The offense was running smoothly there were points being scored by both teams, and the score was all tied up at the end of the first quarter. Next, as sometimes happens, the Redhawks choked. Badly. The Redhawks still kept getting open looks, but blew at least 20 points on badly doinked layups and free throws. Fortunately, the Redhawks have another shot at Divisionals, Saturday, against Bainville.<br/><br/>$scoreboardButton="Girls Varsity"<br/><br/>11-11, 8-13, 8-14, 12-12, 39-50 final<br/><br/>Sydney Labatte: 8 points<br/>Sydney Dethman: 6 points<br/>Tawnee Robertson: 2 points<br/>Morgan Mason: 9 points<br/>Mackenzie Dethman: 9 points<br/>Haley Labatte: 5 points<br/><br/><br/>
2/17;2:30 PM;Sidney;[Win] Game 3 Vs. Bainville;The Redhawk girls, after their struggles last game against Savage, managed to totally destroy the Bainville Bulldogs 46-21 to go to Divisionals. If they play like they did during the first half of this game, they stand a pretty good chance of making it to the state tournament.<br/><br/>$scoreboardButton="Girls Varsity"<br/><br/>18-5, 28-7, 40-13, 46-21 46-21 final.<br/><br/>Ella Taylor: 2 points<br/>Sydney Labatte: 2 points<br/>Sydney Dethman: 8 points<br/>Morgan Mason: 7 points<br/>Tawnee Robertson: 4 points<br/>Mackenzie Dethman: 15 points<br/>Haley Labatte: 8 points<br/>
